Germany,Deutschland
INT credentials in live mode,Sie beabsichtigen Test-Zugangsdaten für den Live-Betrieb zu verwenden.\nMöchten Sie fortfahren?
PROD credentials in sandbox mode,Sie beabsichtigen Live-Zugangsdaten für den Test-Betrieb zu verwenden.\nMöchten Sie fortfahren?
Adminhtml-Initial Text,Allgemeine Modulkonfiguration und Zahlungsartenkonfiguration auf Länderebene<br>Bei Fragen wenden Sie sich an Ihren technischen Ansprechpartner oder an <a href='mailto:integration@ratepay.com'>integration@ratepay.com</a>
Adminhtml-Help-Device Ident,Bei Device Ident handelt es sich um eine digitale Fingerabdrucktechnologie zur Risikobewertung
Adminhtml-Help-Specific Categories,Produktkategorien von der Zahlung mit RatePAY ausschließen
Adminhtml-Help-Specific Shipping,Versandmethoden von der Zahlung mit RatePAY ausschließen
Adminhtml-Help-Hook Deliver,RatePAY Operation DELIVER bei Versand auslösen
Adminhtml-Help-Hook Creditmemo,RatePAY Operation RETURN bei Begutschriftung/Retournierung auslösen
Adminhtml-Help-Hook Cancel,RatePAY Operation CANCELATION bei Abbruch/Stornierung auslösen
Adminhtml-Help-Confirmation Deliver Event,Zeitpunkt/Event der Versandmeldung an RatePAY
Adminhtml-Help-Specific States Before Delivery,Bestellzustand (State) vor Versand (nach Annahme durch RatePAY)
Adminhtml-Help-Specific States After Delivery,Bestellzustand (State) nach Versand
Adminhtml-Help-Specific Statuses Before Delivery,Zahlungsstatus vor Versand (nach Annahme durch RatePAY)
Adminhtml-Help-Specific Statuses After Delivery,Zahlungsstatus nach Versand
Adminhtml-Help-Sandbox,Der Sandbox-Modus dient zu Integrations- und Testzwecken und spricht das RatePAY Test-Gateway an
Adminhtml-Help-Get Config,Laden der bei RatePAY hinterlegten Profilkonfiguration.<br>Nach Empfang erfolgt die automatische Speicherung. Dies kann einige Sekunden in Anspruch nehmen
Adminhtml-Help-Due Days,In der Zahlungsarteninformation (Checkout) angezeigte Zahlungsfälligkeit nach Versand
Adminhtml-Help-B2B,Zahlungsart für Geschäftskunden zugelassen
Adminhtml-Help-ALA,Zahlungsart bei abweichender Lieferadresse zugelassen
Adminhtml-Help-IBAN only,"Keine klassischen Kontodaten zulassen, nur Eingabeformulare für SEPA/IBAN-Kontodaten"
Adminhtml-Help-Payment Fee,Zahlungsartenaufschläge/gebühren sind als separate Produkte anzulegen. In diesem Feld wird anschließend die Artikelposition/SKU hinterlegt
Adminhtml-Help-Specific Customer Groups,Nur spezifische Benutzergruppen für die Zahlung mit RatePAY zulassen
Adminhtml-Help-IBS,<b>Hinweis</b>:<br>IBS erfordert die Telefonnummer und das Geburtsdatum des Käufers. Beide Werte müssen bei Kundenregistrierung erfasst werden bzw. vor Zahlungsartenauswahl vorliegen
Adminhtml-Help-Invoice-Allowed,Dem K&auml;ufer wird erm&ouml;glicht die Ratenzahlung als &Uuml;berweisung zu t&auml;tigen
rate basket difference,Es ist ein Fehler aufgetreten. Bitte berechnen Sie den Ratenplan erneut.
StoreCredit Error,Eine Verwendung des Store Credits ist mit dieser Zahlungsart nicht zulässig.
StoreCreditRefund Error,Die Funktion 'Refund to Store Credit' ist mit Ratepay-Bestellungen nicht möglich.
Processing failed,"Die weitere Verarbeitung der Bestellung ist nicht möglich. Bei Fragen, wenden Sie sich bitte an Ihren verantwortlichen RatePAY-Ansprechpartner."
,,
RatePAY privacy policy URL,RatePAY-Datenschutzerklärung Url
SEPA Account Information,IBAN Kontodaten
Classic Account Information,Klassische Kontodaten
Account holder,Kontoinhaber
Bank name,Bankname
Bank code number,Bankleitzahl
Account number,Kontonummer
IBAN,IBAN
Ratepay address,"RatePAY GmbH, Franklinstra&szlig;e 28-29, 10587 Berlin"
Wirecard address,"Wirecard Bank AG, Einsteinring 35, 85609 Aschheim"
Creditor,Gläubiger-ID
RatePAY Creditor ID,DE39RPY00000568463
Wirecard Creditor ID,DE49ZZZ00000002773
Mandate,Mandatsreferenz
Mandate Ref,(wird nach Kaufabschluss übermittelt)
Invoice Field,Rechnungsfeld
Vat Id,"USt-IdNr."
court,Amtsgericht
Trade register number,Handelsregisternummer
Phone,Telefonnummer
Email,E-Mail
Missing contact informations,Bitte geben Sie für den Einkauf mit der gewählten Zahlungsart folgende Informationen ein:
Company,Firma
Tax/VAT number,USt-IdNr.
Date of Birth,Geburtsdatum
Day,Tag
Month,Monat
Year,Jahr
DD,TT
MM,MM
YYYY,JJJJ
Phone Error,Geben Sie bitte für die gewählte Zahlungsart eine gültige Telefonnummer an.
Date Error,Bitte überprüfen Sie ihre Eingabe. Für die gewählte Zahlungsart müssen Sie mindestens 18 Jahre alt sein und das Geburtsdatum muss in dem Format TT.MM.JJJJ vorliegen.
Soft Error,Bitte überprüfen Sie ihre Eingabe.
Age Error,Für die gewählte Zahlungsart müssen Sie mindestens 18 Jahre alt sein.
VatId Error,Geben Sie bitte eine gültige USt-IdNr. an.
PAYMENT_REQUEST Declined,Leider ist eine Bezahlung mit RatePAY nicht möglich. Diese Entscheidung ist auf Grundlage einer automatisierten Datenverarbeitung getroffen worden. Einzelheiten finden sie in den zusätzlichen Allgemeinen Geschäftsbedingungen und dem Datenschutzhinweis für RatePAY-Zahlungsarten.
Gateway Offline,"Leider ist die Verbindung zu RatePAY derzeit nicht möglich, bitte versuchen Sie es zu einem späteren Zeitpunkt erneut."
RatePAY Data Privacy Policy,RatePAY-Datenschutzerkl&auml;rung
ratepay_directdebit_sepa_link,Einwilligungserklärung zum SEPA-Mandat lesen
ratepay_directdebit_sepa_terms_block_1,Ich willige hiermit in die Weiterleitung meiner Daten an
ratepay_directdebit_sepa_terms_block_2,gem&auml;&szlig;
ratepay_directdebit_sepa_terms_block_3,"ein und erm&auml;chtige diese, mit diesem Kaufvertrag in Zusammenhang stehende Zahlungen von meinem o.a. Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von RatePAY GmbH auf mein Konto gezogenen Lastschriften einzul&ouml;sen."
ratepay_directdebit_sepa_notice_block_1,Hinweis:
ratepay_directdebit_sepa_notice_block_2,Nach Zustandekommen des Vertrags wird mir die Mandatsreferenz von RatePAY mitgeteilt.
ratepay_directdebit_sepa_notice_block_3,"Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen."
wirecard_directdebit_sepa_terms_block,"Ich ermächtige die Wirecard Bank AG von von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von der Wirecard Bank AG auf mein Konto gezogenen Lastschriften einzulösen."
wirecard_directdebit_sepa_notice_block_2,"Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. </br> Es gelten dabei die mit dem Kreditinstitut vereinbarten Bedingungen."
wirecard_directdebit_sepa_notice_block_1,Hinweis:
ratepay_rate_info_block_multiruntime_1,Sie k&ouml;nnen ab
ratepay_rate_info_block_multiruntime_2,Teilzahlungsraten &agrave; mindestens
ratepay_rate_info_block_multiruntime_3,"w&auml;hlen. Ihre monatliche Teilzahlungsrate, die Laufzeit der Teilzahlung und den entsprechenden Zinsaufschlag k&ouml;nnen Sie mit dem Ratenrechner im Anschluss ermitteln."
ratepay_rate_info_block_singleruntime_1,Sie k&ouml;nnen den Rechnungsbetrag in
ratepay_rate_info_block_singleruntime_2,Teilzahlungsraten begleichen.
ratepay_rate_info_block_singleruntime_3,Ihre monatliche Teilzahlungsrate und den entsprechenden Zinsaufschlag k&ouml;nnen entnehmen Sie dem dargestellten Ratenplan.
IBAN invalid Error,Bitte geben Sie eine gültige IBAN ein.
insert account number,Bitte geben Sie eine gültige Kontonummer ein.
insert bank data,Bitte geben Sie Ihre Bankdaten ein.
insert bank code,Bitte geben Sie eine gültige Bankleitzahl ein.
insert bank data wc,Bitte geben Sie ihre Bankverbindung für den monatlichen Einzug zum jeweils 2. des Kalendermonats an. Liegt dieser auf einem Sonn- oder Feiertag, so erfolgt der Einzug am darauffolgenden Werktag:
bank transfer,&Uuml;berweisung
direct debit,SEPA-Lastschrift
Please choose due date,Bitte Fälligkeit wählen:
Enable dynamic due,Abweichende F&auml;lligkeit
rp_runtime_title,Laufzeit
rp_runtime_description,Anzahl der monatlichen Raten
rp_rate_title,Ratenh&ouml;he
rp_rate_description,H&ouml;he der monatlichen Raten
rp_calculation_intro_part1,Im Folgenden k&ouml;nnen Sie entscheiden, wie Sie die Ratenzahlung gestalten m&ouml;chten.
rp_calculation_intro_part2,Legen Sie bequem die Anzahl der Raten und somit <b>die Laufzeit</b> der Ratenzahlung fest.
rp_calculation_intro_part3,Oder bestimmen sie einfach die gew&uuml;nschte <b>monatliche Ratenh&ouml;he.</b>
rp_calculate_rate,Rate berechnen
rp_total_amount,Gesamtbetrag
rp_cash_payment_price,Warenwert
rp_calulation_example,Die Ratenberechnung kann zum Ratenplan abweichen
rp_interest_amount,Zinsbetrag
rp_service_charge,Vertragsabschlussgeb&uuml;hr
rp_effective_rate,Effektiver Jahreszins
rp_debit_rate,Sollzinssatz pro Monat
rp_duration_time,Laufzeit
rp_duration_month, monatliche Raten &agrave;
rp_last_rate,zzgl. einer Abschlussrate &agrave;
rp_months,Monate
rp_error_message,Ein Fehler ist aufgetreten. Bitte kontaktieren Sie den Shopbetreiber.
rp_mouseover_cash_payment_price,Summe aller Artikel Ihres Warenkorbs, incl. Versandkosten etc.
rp_mouseover_service_charge,Bei Ratenzahlung pro Bestellung anfallende, einmalige Bearbeitungsgeb&uuml;hr.
rp_mouseover_effective_rate,Gesamtkosten des Kredits als j&auml;hrlicher Prozentsatz.
rp_mouseover_debit_rate,"Periodischer Prozentsatz, der auf das in Anspruch genommene Darlehen angewendet wird."
rp_mouseover_interest_amount,"Konkreter Geldbetrag, der sich aus den Zinsen ergibt."
rp_mouseover_total_amount,"Summe der vom K&auml;ufer zu zahlenden Betr&auml;ge aus Warenwert, Vertragsabschlussgeb&uuml;hr und Zinsen."
rp_mouseover_duration_time,Dauer des Ratenplans (kann durch Sondertilgungen verk&uuml;rzt werden).
rp_mouseover_duration_month,Monatlich f&auml;lliger Teilbetrag
rp_mouseover_last_rate,Im letzten Monat f&auml;lliger Teilbetrag
rp_calculator,Ratenrechner
rp_personal_calculation,Pers&Ouml;nliche Ratenberechnung
rp_reason_code_translation_603,Die Wunschrate entspricht den vorgegebenen Bedingungen.
rp_reason_code_translation_671,Die letzte Rate war niedriger als erlaubt. Laufzeit und/oder Rate wurden angepasst.
rp_reason_code_translation_688,Die Rate war niedriger als f&uuml;r Ratenpl&auml;ne mit langer Laufzeit erlaubt. Die Laufzeit wurde angepasst.
rp_reason_code_translation_689,Die Rate war niedriger als f&uuml;r Ratenpl&auml;ne mit kurzer Laufzeit erlaubt. Die Laufzeit wurde angepasst.
rp_reason_code_translation_695,Die Rate ist zu hoch f&uuml;r die minimal verf&uuml;gbare Laufzeit. Die Rate wurde verringert.
rp_reason_code_translation_696,Die Wunschrate ist zu niedrig. Die Rate wurde erh&ouml;ht.
rp_reason_code_translation_697,F&uuml;r die gew&auml;hlte Ratenh&ouml;he ist keine entsprechende Laufzeit verf&uuml;gbar. Die Ratenh&ouml;he wurde angepasst.
rp_reason_code_translation_698,Die Rate war zu niedrig f&uuml;r die maximal verf&uuml;gbare Laufzeit. Die Rate wurde erh&ouml;ht.
rp_reason_code_translation_699,Die Rate ist zu hoch f&uuml;r die minimal verf&uuml;gbare Laufzeit. Die Rate wurde verringert.
,,
rp_switch_payment_type_bank_transfer,Ich m&ouml;chte die Ratenzahlungen selbst vornehmen und nicht per Lastschrift begleichen
rp_switch_payment_type_direct_debit,Ich m&ouml;chte die Ratenzahlungen bequem per Lastschrift begleichen
rp_address,"RatePAY GmbH, Franklinstra&szlig;e 28-29, 10587 Berlin"
wcd_address,"Wirecard Bank AG, Einsteinring 35, 85609 Aschheim"
rp_creditor,Gl&auml;ubiger-ID
rp_creditor_id,DE39RPY00000568463
wcd_creditor_id,DE49ZZZ00000002773
rp_mandate,Mandatsreferenz
rp_mandate_ref,(wird nach Kaufabschluss &uuml;bermittelt)
rp_insert_bank_dataBitte geben Sie Ihre Bankdaten ein
rp_sepa_account_information,IBAN Kontodaten
rp_classic_account_information,Klassische Kontodaten
rp_account_holder,Kontoinhaber
rp_iban,IBAN // IBAN oder klassische Kontonummer
rp_account_number,Kontonummer
rp_bank_code,Bankleitzahl
rp_sepa_link,Einwilligungserkl&auml;rung zum SEPA-Mandat lesen
rp_sepa_terms_block_1,Ich willige hiermit in die Weiterleitung meiner Daten an
rp_sepa_terms_block_2,gem&auml;&szlig;
rp_sepa_terms_block_3,"ein und erm&auml;chtige diese, mit diesem Kaufvertrag in Zusammenhang stehende Zahlungen von meinem o.a. Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von RatePAY GmbH auf mein Konto gezogenen Lastschriften einzul&ouml;sen."
rp_data_privacy_policy,RatePAY-Datenschutzerkl&auml;rung
rp_data_privacy_policy_url,https://www.ratepay.com/zusaetzliche-geschaeftsbedingungen-und-datenschutzhinweis-dach
rp_sepa_notice_block_1,Hinweis:
rp_sepa_notice_block_2,Nach Zustandekommen des Vertrags wird mir die Mandatsreferenz von RatePAY mitgeteilt.
rp_sepa_notice_block_3,"Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen."
wcd_sepa_notice_block,"Bitte geben Sie ihre Bankverbindung f&uuml;r den monatlichen Einzug zum jeweils 2. des Kalendermonats an. Liegt dieser auf einem Sonn- oder Feiertag, so erfolgt der Einzug am darauffolgenden Werktag:"
wcd_sepa_terms_please_note,Hinweis
wcd_sepa_terms_block_1,"Ich erm&auml;chtige die Wirecard Bank AG von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von der Wirecard Bank AG auf mein Konto gezogenen Lastschriften einzul&ouml;sen."
wcd_sepa_terms_block_2,"Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen."
wcd_sepa_terms_block_3,Es gelten dabei die mit dem Kreditinstitut vereinbarten Bedingungen.
ratepay_agreement,"Es gelten die <a href='https://www.ratepay.com/zgb-dse' target='_blank'>zusätzlichen Geschäftsbedingungen und der Datenschutzhinweis</a> der RatePAY GmbH"
